minute,second,player,team,team_id,possession,start_x,start_y,end_x,end_y,next_shot_xg,leads_to_shot,dx,dy,length,progressive,final_third,box_entry,cross,through,cutback,pass_type,structural_score,xg_norm,importance_raw,importance_norm,time
3,57,Tom Cleverley,Everton,29,9,73.7,33.2,76.1,41.2,0.0,0,2.3999999999999915,8.0,8.352245207128439,0,0,0,0,0,0,Lateral,0.7099999999999997,0.0,0.15317258879361095,0.18020304547327554,237
3,59,Ross Barkley,Everton,29,9,75.0,42.4,87.3,75.9,0.0,0,12.299999999999997,33.50000000000001,35.686692197512514,1,1,0,0,0,0,Switch of Play,2.3474999999999997,0.0,0.506440355201411,0.5958121820401611,239
4,1,Aaron Lennon,Everton,29,9,87.3,75.9,75.4,71.0,0.0,0,-11.899999999999991,-4.900000000000006,12.869343417595159,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,241
4,4,Séamus Coleman,Everton,29,9,81.2,72.4,88.1,77.3,0.0,0,6.8999999999999915,4.8999999999999915,8.462860036654265,0,1,0,0,0,0,Forward,1.3125,0.0,0.2831535532276259,0.3331218270192594,244
4,8,Aaron Lennon,Everton,29,9,93.7,65.2,94.4,54.8,0.0,0,0.7000000000000028,-10.400000000000006,10.423531071570714,0,1,0,0,0,0,Lateral,1.3575,0.0,0.2928616750525731,0.34454314680277687,248
4,9,Romelu Lukaku Menama,Everton,29,9,94.4,54.8,87.9,58.5,0.0,0,-6.5,3.700000000000003,7.479304780526063,0,1,0,0,0,0,Backward,0.6316666666666666,0.0,0.1362732656168511,0.1603214888130785,249
4,12,Ross Barkley,Everton,29,9,88.6,52.4,88.4,29.5,0.0,0,-0.19999999999998863,-22.9,22.900873345791858,0,1,0,0,0,0,Lateral,1.336666666666667,0.0,0.28836717420769026,0.3392554987548522,252
4,14,Kevin Mirallas,Everton,29,9,90.4,34.0,93.3,44.6,0.0,0,2.8999999999999915,10.600000000000001,10.989540481748998,0,1,0,0,0,0,Lateral,1.5724999999999998,0.0,0.33924492377176513,0.39911167465736025,254
4,27,Gareth Barry,Everton,29,9,82.0,64.5,95.9,58.8,0.0,0,13.900000000000006,-5.700000000000003,15.02331521336087,1,1,0,0,0,0,Progressive,2.4875000000000003,0.0,0.5366434008790245,0.6313451769222156,267
5,47,Rob Elliot,Newcastle United,37,11,6.0,44.0,69.3,63.8,0.0,0,63.3,19.799999999999997,66.32442988823952,1,0,0,0,0,0,Progressive,2.07,0.0,0.44657360394757,0.5253807100418033,347
5,51,Aleksandar Mitrović,Newcastle United,37,11,69.3,63.8,65.0,60.6,0.0,0,-4.299999999999997,-3.1999999999999957,5.360037313302954,0,0,0,0,0,0,Lateral,0.2983333333333334,0.0,0.06436125209872388,0.07571912004628248,351
5,52,Vurnon Anita,Newcastle United,37,11,65.0,60.6,71.4,54.7,0.0,0,6.400000000000006,-5.899999999999999,8.704596486914259,0,0,0,0,0,0,Forward,1.1500000000000001,0.0,0.24809644663753896,0.2918781722454464,352
5,54,Ayoze Pérez Gutiérrez,Newcastle United,37,11,71.5,55.3,66.1,55.3,0.0,0,-5.400000000000006,0.0,5.400000000000006,0,0,0,0,0,0,Backward,0.29999999999999993,0.0,0.06472081216631449,0.07614213189011643,354
5,54,Vurnon Anita,Newcastle United,37,11,66.1,56.4,80.9,63.3,0.0,0,14.800000000000011,6.899999999999999,16.329421300217604,1,1,0,0,0,0,Progressive,2.1900000000000004,0.0,0.47246192881409593,0.5558375627978501,354
5,56,José Ramiro Funes Mori,Everton,29,12,33.3,22.9,42.0,24.1,0.0,0,8.700000000000003,1.2000000000000028,8.782368700982673,0,0,0,0,0,0,Forward,1.7075,0.0,0.3683692892466067,0.43337563400791274,356
5,57,Tom Cleverley,Everton,29,12,42.2,24.1,33.3,26.8,0.0,0,-8.900000000000006,2.6999999999999993,9.300537618869143,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,357
5,59,Gareth Barry,Everton,29,12,33.3,26.8,62.6,19.5,0.0,0,29.300000000000004,-7.300000000000001,30.195695057408436,1,0,0,0,0,0,Progressive,2.07,0.0,0.44657360394757,0.5253807100418033,359
6,3,Romelu Lukaku Menama,Everton,29,12,57.0,6.6,80.9,5.4,0.0,0,23.900000000000006,-1.1999999999999993,23.93010656056509,1,1,0,0,0,0,Progressive,2.3375,0.0,0.5042829947958672,0.5932741109771573,363
6,9,Kevin Mirallas,Everton,29,12,99.5,13.8,92.9,41.6,0.0,0,-6.599999999999994,27.8,28.572714256787016,0,1,0,0,0,0,Backward,1.29,0.0,0.2782994923151524,0.32741116712750074,369
6,13,Tom Cleverley,Everton,29,12,94.5,52.4,107.0,67.4,0.0,0,12.5,15.000000000000007,19.525624189766642,1,1,0,0,0,0,Progressive,1.6325000000000003,0.0,0.35218908620502815,0.4143401010353837,373
6,17,Séamus Coleman,Everton,29,12,107.0,67.4,111.5,33.8,0.0800747,1,4.5,-33.60000000000001,33.900000000000006,1,1,1,1,0,0,Cross,2.9625,0.0800747,0.6511292251423556,0.7660343818136264,377
6,48,Leighton Baines,Everton,29,13,120.0,0.1,111.2,47.7,0.0,0,-8.799999999999997,47.6,48.40661111873047,0,1,1,1,0,1,Cross,2.7033333333333336,0.0,0.5832064296320119,0.686125210698716,408
6,53,Ayoze Pérez Gutiérrez,Newcastle United,37,14,23.9,53.8,41.2,63.1,0.0,0,17.300000000000004,9.300000000000004,19.641283053812963,0,0,0,0,0,0,Forward,1.8025000000000002,0.0,0.38886421309927305,0.4574873091064497,413
